ticker,name,asset_type,asset_class,category,geography,volatility,avg_volume,last_price,liquidity,expense_ratio,is_esg
EEM,iShares MSCI Emerging Index Fun,ETF,Equities - Emerging Markets,equities,Emerging,0.18156643833317546,28355478.285714287,62.78499984741211,1780298699.8418689,0.001,False
IEMG,iShares Core MSCI Emerging Mark,ETF,Equities - Emerging Markets,equities,Emerging,0.1771980144822123,12357317.206349207,76.99500274658203,951451672.2432426,0.001,False
SCHE,Schwab Emerging Markets Equity ,ETF,Equities - Emerging Markets,equities,Emerging,0.1706729645070237,1562497.373015873,35.79499816894531,55929590.60608503,0.001,False
VNM,VanEck Vietnam ETF,ETF,Equities - US,equities,US,0.3193067982821468,912811.9841269841,19.209999084472656,17535117.379375033,0.001,False
MCHI,iShares MSCI China ETF,ETF,Equities - Emerging Markets,equities,Emerging,0.24490740331745542,2882602.027777778,60.474998474121094,174325353.23135948,0.001,False
INDA,Ishares MSCI India ETF,ETF,Equities - Emerging Markets,equities,Emerging,0.1449312299714152,6535602.05952381,52.85499954223633,345439243.86436975,0.001,False
AGG,iShares Core U.S. Aggregate Bon,ETF,Fixed Income,bonds,Global,0.04273604124222688,8775559.547619049,101.1050033569336,887252977.5209945,0.001,False
BND,Vanguard Total Bond Market ETF,ETF,Fixed Income,bonds,Global,0.042151030288249465,7470314.968253968,74.95500183105469,559937472.1240314,0.001,False
TLT,iShares 20+ Year Treasury Bond ,ETF,Fixed Income,bonds,Global,0.11466244864344821,37547568.1984127,89.97000122070312,3378154756.6456246,0.001,False
LQD,iShares iBoxx $ Investment Grad,ETF,Fixed Income,bonds,Global,0.06331686204349916,29968872.134920634,111.6500015258789,3346024619.5927587,0.001,False
HYG,iShares iBoxx $ High Yield Corp,ETF,Fixed Income,bonds,Global,0.052972151008696164,41342546.63095238,80.82499694824219,3341511205.2792864,0.001,False
VCIT,Vanguard Intermediate-Term Corp,ETF,Fixed Income,bonds,Global,0.04589563638829158,10046693.876984127,84.62999725341797,850251675.2150978,0.001,False
VGIT,Vanguard Intermediate-Term Trea,ETF,Fixed Income,bonds,Global,0.03766781887612397,3122383.6666666665,60.46500015258789,188794928.88143793,0.001,False
BNDX,Vanguard Total International Bo,ETF,Fixed Income,bonds,Global,0.03003737146347716,4272735.682539683,49.06990051269531,209662714.85926554,0.001,False
VWOB,Vanguard Emerging Markets Gover,ETF,Fixed Income,bonds,Global,0.059580729127802746,680235.253968254,68.34700012207031,46492038.986004785,0.001,False
EMB,iShares J.P. Morgan USD Emergin,ETF,Fixed Income,bonds,Global,0.06383488577958894,6980170.075396826,97.69989776611328,681961902.7563531,0.001,False
SHY,iShares 1-3 Year Treasury Bond ,ETF,Fixed Income,bonds,Global,0.01377848966440979,4065441.0714285714,83.04969787597656,337633652.7147293,0.001,False
IEF,iShares 7-10 Year Treasury Bond,ETF,Fixed Income,bonds,Global,0.053103846803677655,8996350.698412698,97.41500091552734,876379511.5222781,0.001,False
TIP,iShares TIPS Bond ETF,ETF,Fixed Income,bonds,Global,0.04184806626521867,2686586.5,111.27999877929688,298963342.44047546,0.001,False
MUB,iShares National Muni Bond ETF,ETF,Fixed Income,bonds,Global,0.03998440526708656,4995104.674603174,108.6449966430664,542693130.6040272,0.001,False
JNK,State Street SPDR Bloomberg Hig,ETF,Fixed Income,bonds,Global,0.054850592054877426,4462455.174603174,97.44090270996094,434825660.51606965,0.001,False
MBB,iShares MBS ETF,ETF,Equities - US,equities,US,0.047911237504708264,3211697.5396825396,96.56999969482422,310153630.42701054,0.001,False
XLK,State Street Technology Select ,ETF,Sector,equities,Global,0.274975877498113,15370429.825396825,140.61000061035156,2161236147.1304135,0.001,False
XLV,State Street Health Care Select,ETF,Sector,equities,Global,0.17339800890925663,12384119.273809524,158.22500610351562,1959477347.6851776,0.001,False
XLF,State Street Financial Select S,ETF,Sector,equities,Global,0.19629411377815478,43766941.81746032,50.6150016784668,2215263833.5521126,0.001,False
XLE,State Street Energy Select Sect,ETF,Sector,equities,Global,0.25202310639592707,36309161.984126985,54.790000915527344,1989379018.352348,0.001,False
XLY,State Street Consumer Discretio,ETF,Sector,equities,Global,0.24196348054368172,10674253.404761905,116.58499908447266,1244457823.4215958,0.001,False
XLP,State Street Consumer Staples S,ETF,Sector,equities,Global,0.14089431949714934,15914717.452380951,89.33999633789062,1421820798.9142783,0.001,False
XLI,State Street Industrial Select ,ETF,Sector,equities,Global,0.19148878153525997,10937125.75,176.18499755859375,1926957473.5617828,0.001,False
XLB,State Street Materials Select S,ETF,Sector,equities,Global,0.2072739891272667,13295573.051587302,53.244998931884766,707922772.9305618,0.001,False
XLRE,State Street Real Estate Select,ETF,Sector,equities,Global,0.16609422711614033,7004252.833333333,43.558998107910156,305098235.914491,0.001,False
XLU,State Street Utilities Select S,ETF,Sector,equities,Global,0.1591704505746185,23015951.714285713,46.564998626708984,1071737759.9681145,0.001,False
SMH,VanEck Semiconductor ETF,ETF,Equities - US,equities,US,0.3715233981093584,7933782.615079365,420.32000732421875,3334727566.878918,0.001,False
IBB,iShares Biotechnology ETF,ETF,Equities - US,equities,US,0.23180996789146185,1836206.8095238095,176.19000244140625,323521282.25292677,0.001,False
KRE,State Street SPDR S&P Regional ,ETF,Equities - US,equities,US,0.2823984658318302,15853574.511904761,68.20999908447266,1081372302.9426427,0.001,False
KBE,State Street SPDR S&P Bank ETF,ETF,Equities - US,equities,US,0.26255309525765863,1907783.6746031747,62.31890106201172,118890982.06531641,0.001,False
ITA,iShares U.S. Aerospace & Defens,ETF,Equities - US,equities,US,0.22493907199212143,674030.3015873015,241.13870239257812,162534792.29803997,0.001,False
ICLN,iShares Global Clean Energy ETF,ETF,Equities - US,equities,US,0.24502357180156842,3187352.154761905,19.30500030517578,61531834.320381254,0.001,False
TAN,Invesco Solar ETF,ETF,Equities - US,equities,US,0.3889158272678166,939713.2182539683,60.61000061035156,56956018.731928445,0.001,False
LIT,Global X Lithium & Battery Tech,ETF,Equities - US,equities,US,0.33138142218626837,324418.43253968254,75.76319885253906,24578978.215933,0.001,False
ESGV,Vanguard ESG U.S. Stock ETF,ETF,ESG / Sustainable,equities,Global,0.19785406251463591,238852.4126984127,119.22000122070312,28475984.93347265,0.001,True
ESGU,iShares ESG Aware MSCI USA ETF,ETF,ESG / Sustainable,equities,Global,0.190885910520356,608088.1984126985,149.00999450683594,90611219.10514796,0.001,True
SUSL,iShares ESG MSCI USA Leaders ET,ETF,ESG / Sustainable,equities,Global,0.18639216728150415,30942.01984126984,121.44000244140625,3757598.96506585,0.001,True
VOTE,TCW Transform 500 ETF,ETF,Equities - US,equities,US,0.18877634661320822,28161.365079365078,80.44000244140625,2265300.27573746,0.001,False
DSI,iShares ESG MSCI KLD 400 ETF,ETF,ESG / Sustainable,equities,Global,0.19072817183300436,129492.9007936508,128.9499969482422,16698109.1621603,0.001,True
SUSA,iShares ESG Optimized MSCI USA ,ETF,ESG / Sustainable,equities,Global,0.18476245036704741,82522.04761904762,139.75,11532456.154761905,0.001,True
ESGE,iShares ESG Aware MSCI EM ETF,ETF,ESG / Sustainable,equities,Global,0.1828233782801105,655112.4880952381,50.55229949951172,33117442.70406078,0.001,True
AAPL,Apple Inc.,STOCK,Equities - US,equities,US,0.3246806135942224,53907616.071428575,273.19989013671875,14727554788.2467,0.0,False
MSFT,Microsoft Corporation,STOCK,Equities - US,equities,US,0.26502836523402323,24273973.523809522,386.6405944824219,9385303553.696283,0.0,False
GOOGL,Alphabet Inc.,STOCK,Equities - US,equities,US,0.3110791440641855,37435411.76190476,310.8599853515625,11637171551.935425,0.0,False
AMZN,"Amazon.com, Inc.",STOCK,Equities - US,equities,US,0.3528168256983774,46980272.88095238,209.0850067138672,9822870670.73324,0.0,False
META,"Meta Platforms, Inc.",STOCK,Equities - US,equities,US,0.3971452908357328,15530814.82936508,637.5800170898438,9902137184.325787,0.0,False
NVDA,NVIDIA Corporation,STOCK,Equities - US,equities,US,0.44236418015964385,207039684.01190478,192.35000610351562,39824084483.35983,0.0,False
TSLA,"Tesla, Inc.",STOCK,Equities - US,equities,US,0.6140952953116953,95466180.92063493,403.07000732421875,38479554242.895515,0.0,False
AVGO,Broadcom Inc.,STOCK,Equities - US,equities,US,0.5040921307696609,26313432.583333332,325.2250061035156,8557786272.51903,0.0,False
ORCL,Oracle Corporation,STOCK,Equities - US,equities,US,0.6171798537729569,19425107.813492063,144.84500122070312,2813629764.9575477,0.0,False
ADBE,Adobe Inc.,STOCK,Equities - US,equities,US,0.3279600805721524,4230926.202380952,254.0800018310547,1074993737.2480097,0.0,False
CRM,"Salesforce, Inc.",STOCK,Equities - US,equities,US,0.3456124995679636,8519433.686507937,185.22000122070312,1577969517.8146994,0.0,False
